Weather.Condition,Total_Accidents,Mean_Severity,Fatal_Rate,Mean_Damage
Unk,1116,8.522401433691757,0.5098566308243727,2.28584229390681
Unknown,4439,7.673349853570624,0.339716152286551,1.8240594728542465
Imc,5971,7.1130463908892985,0.5791324736225087,2.4957293585664044
Vmc,77224,1.7401714492903761,0.15840930280741738,2.129597016471563
